SITE,SITE_NUM,NUMBER,X_METERS,Y_METERS,SPECIES_CODE,L1NUM,L1DBH,L2NUM,L2DBH,L3NUM,L3DBH,L4NUM,L4DBH,L5NUM,L5DBH,L6NUM,L6DBH,L7NUM,L7DBH,TOTLDBH,TOTLSTEM,TOTLBA,D1NUM,D1DBH,D2NUM,D2DBH,D3NUM,D3DBH,D4NUM,D4DBH,D5NUM,D5DBH,D6NUM,D6DBH,D7NUM,D7DBH,TOTDDBH,TOTDSTEM,TOTDBA,C1NUM,C1DBH,C2NUM,C2DBH,C3NUM,C3DBH,TOTCDBH,TOTCSTEM,TOTCBA,HEIGHT_1,HEIGHT_2,CANOPY_M,CANOPY2_M,AREAC,COPICE,DEAD,TOT_BIOM,LEAF_BIOM
Lukulu,1,58,44.5,50,6,1,13.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13.05,1,133.77,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0,0.00,0,0.0,0,0.0,0,0.0,0.00,0,0.00,6.05,8.73,3.0,2.0,4.71,0,0,72.01,3.686
Lukulu,1,115,5.6,37.5,6,1,11.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11.46,1,103.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0,0.00,0,0.0,0,0.0,0,0.0,0.00,0,0.00,6.35,10.51,4.0,3.0,9.42,0,0,67.10,3.501
Lukulu,1,178,21.3,30,6,1,8.6,1,7.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15.92,2,100.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0,0.00,0,0.0,0,0.0,0,0.0,0.00,0,0.00,0.97,6.20,2.0,2.0,3.14,0,0,39.62,2.382
Lukulu,1,322,31.6,21.5,7,1,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6.05,1,28.73,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0,0.00,0,0.0,0,0.0,0,0.0,0.00,0,0.00,3.00,5.00,3.0,2.0,4.71,0,0,9.96,0.869
Lukulu,1,447,38.5,10.2,7,1,12.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12.10,1,114.91,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0,0.00,0,0.0,0,0.0,0,0.0,0.00,0,0.00,5.62,7.03,6.0,4.0,18.85,0,0,50.82,2.857
Lukulu,1,502,38.5,9.5,7,1,7.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7.00,1,38.52,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0,0.00,0,0.0,0,0.0,0,0.0,0.00,0,0.00,4.00,5.00,1.0,1.0,0.79,0,0,13.13,1.063
Lukulu,1,57,43,48.5,9,0,0.0,1,12.7,1,11.5,0,0.0,0,0.0,0,0.0,0,0.0,24.19,2,230.46,1,4.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4.46,1,15.60,0,0.0,0,0.0,0,0.0,0.00,0,0.00,3.67,8.25,8.0,9.0,56.55,0,0,114.05,5.157
Lukulu,1,66,2.5,45,9,1,19.1,1,8.9,1,5.7,0,0.0,0,0.0,0,0.0,0,0.0,33.74,3,374.65,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0,0.00,0,0.0,0,0.0,0,0.0,0.00,0,0.00,4.18,9.26,5.0,5.0,19.63,0,0,201.30,7.810
Lukulu,1,210,4,27.7,9,1,5.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5.73,1,25.78,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0,0.00,0,0.0,0,0.0,0,0.0,0.00,0,0.00,4.97,7.40,6.0,4.0,18.85,0,0,13.02,1.057
Lukulu,1,16,9.6,47,12,1,3.0,1,2.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5.89,2,13.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0,0.00,0,0.0,0,0.0,0,0.0,0.00,0,0.00,2.91,4.74,3.0,1.5,3.53,0,0,4.68,0.500
