NAME,SPECIES (TRANSECT),FAMILY,FAMILY CODE,GENUS,SPECIES,COMMON_NAME,AFRICAANS
mint,105,Unkown,,None,,,
muholoholo ??,106,Unkown,,None,,,
mukena?,107,Unkown,,None,,,
Oak?,108,Unkown,,None,,,
oval leaf?,109,Unkown,,None,,,
shiny leaf?,110,Unkown,,None,,,
Spiny?,111,Unkown,,None,,,
Star?,112,Unkown,,None,,,
Velv?,113,Unkown,,None,,,
Hannoa,114,Unkown,,None,,,
Hirsute,115,Unkown,,None,,,
Missing Data,9999,None,,None,,,
